CalendarDate,CustomerEmail,CustomerBrand,CustomerCountry,CustomerStatus,ProviderName,ProviderProductName,DeviceName,rounds,turnover_EUR,gameWin_EUR,bonus cost,totalAccountingRevenue_EUR
20210101,betsson@testbetssongroup.com,BrandABC,Italy,Active,ABCpoker,Poker,Mobile,1,44.81293393,1.568452688,-3.456609068,-1.88815638
20210102,betsson2@testbetssongroup.com,BrandDEF,Sweden,Active,ABCgamesofchance,,Web,2,84.60783125,-42.30391562,-3.994042378,-46.297958
20210103,betsson3@testbetssongroup.com,BrandABC,Denmark,Closed,ABCpoker,Poker,Mobile,3,81.78840891,2.862594312,-0.465174678,2.397419634
20210104,betsson4@testbetssongroup.com,BrandDEF,Denmark,Active,ABCgamesofchance,Games of Chance,Web,4,13.24402511,0.463540879,-1.496112119,-1.03257124
20210105,betsson5@testbetssongroup.com,BrandGHI,Switzerland,Active,ABCsportsbook,Sportsbook,Mobile,5,13.24117143,-6.620585716,,-6.620585716
20210106,betsson6@testbetssongroup.com,BrandGHI,Switzerland,Active,ABCpoker,Poker,Mobile,6,91.98127307,3.219344557,-19.76028316,-16.5409386
20210101,betsson7@testbetssongroup.com,BrandABC,Sweden,Closed,ABCgamesofchance,Games of Chance,Web,7,47.70583072,1.669704075,-9.572601278,-7.902897203
20210102,betsson8@testbetssongroup.com,BrandABC,Italy,Active,ABCpoker,Poker,Mobile,8,33.17263837,1.161042343,-4.456937314,-3.295894971
20210103,betsson@testbetssongroup.com,BrandABC,Italy,Active,ABCgamesofchance,Games of Chance,Web,9,76.33347832,2.671671741,-14.68858051,-12.01690877
20210104,betsson2@testbetssongroup.com,BrandDEF,Sweden,Active,ABCsportsbook,Sportsbook,Mobile,10,84.97695632,-42.48847816,-12.81460273,-55.30308089
20210105,betsson3@testbetssongroup.com,BrandABC,Denmark,Closed,DEFgamesofchance,Games of Chance,Mobile,11,48.24151079,1.688452878,-16.47024982,-14.78179694
20210106,betsson4@testbetssongroup.com,BrandDEF,Denmark,Active,ABCsportsbook,Sportsbook,Web,12,25.28049322,-12.64024661,,-12.64024661
20210101,betsson5@testbetssongroup.com,BrandGHI,Switzerland,Active,DEFgamesofchance,Games of Chance,Mobile,13,38.60294206,-19.30147103,-3.263310642,-22.56478167
20210102,betsson6@testbetssongroup.com,BrandGHI,Switzerland,Active,ABCpoker,Poker,Web,14,70.52897896,2.468514264,-14.01730904,-11.54879478
20210103,betsson@testbetssongroup.com,BrandABC,Italy,Active,ABCgamesofchance,Games of Chance,Mobile,15,57.66271168,2.018194909,-16.58215768,-14.56396277
20210104,betsson2@testbetssongroup.com,BrandDEF,Sweden,Active,ABCpoker,Poker,Web,16,30.38851145,1.063597901,-1.468310026,-0.404712125
20210105,betsson@testbetssongroup.com,BrandABC,Italy,Active,ABCgamesofchance,Games of Chance,Mobile,17,37.64434035,1.317551912,,1.317551912
20210106,betsson2@testbetssongroup.com,BrandDEF,Sweden,Active,ABCsportsbook,Sportsbook,Web,1,65.39556651,-32.69778326,-8.372667035,-41.07045029
20210101,betsson@testbetssongroup.com,BrandABC,Italy,Active,ABCpoker,Poker,Mobile,2,77.72164285,2.7202575,-12.52765829,-9.807400787
20210102,betsson2@testbetssongroup.com,BrandDEF,Sweden,Active,ABCgamesofchance,Games of Chance,Mobile,3,14.36728943,0.50285513,-18.44091964,-17.93806451
20210103,betsson3@testbetssongroup.com,BrandABC,Denmark,Closed,ABCsportsbook,Sportsbook,Mobile,4,54.36996395,1.902948738,-14.81849348,-12.91554475
20210104,betsson4@testbetssongroup.com,BrandDEF,Denmark,Active,ABCpoker,Poker,Mobile,5,84.8186324,2.968652134,-13.60271433,-10.63406219
20210105,betsson5@testbetssongroup.com,BrandGHI,Switzerland,Active,ABCgamesofchance,Games of Chance,Web,6,43.73709718,-21.86854859,-4.697380757,-26.56592935
20210106,betsson6@testbetssongroup.com,BrandGHI,Switzerland,Active,ABCsportsbook,Sportsbook,Mobile,7,70.16302497,-35.08151249,,-35.08151249
20210101,betsson7@testbetssongroup.com,BrandABC,Sweden,Closed,DEFgamesofchance,Games of Chance,Web,8,60.40628552,2.114219993,-13.92124405,-11.80702406
20210102,betsson8@testbetssongroup.com,BrandABC,Italy,Active,ABCpoker,Poker,Mobile,9,25.4808028,-12.7404014,-7.959254272,-20.69965567
20210103,betsson4@testbetssongroup.com,BrandDEF,Denmark,Active,ABCgamesofchance,Games of Chance,Mobile,10,87.87725924,3.075704074,-19.80280388,-16.7270998
20210104,betsson@testbetssongroup.com,BrandABC,Italy,Active,ABCsportsbook,Sportsbook,Mobile,11,20.91157019,0.731904957,-15.72151949,-14.98961454
20210105,betsson@testbetssongroup.com,BrandABC,Italy,Active,DEFgamesofchance,Games of Chance,Web,12,44.39399907,1.553789967,-13.52665708,-11.97286711
20210106,betsson2@testbetssongroup.com,BrandDEF,Sweden,Active,ABCpoker,Poker,Mobile,13,62.99159133,2.204705697,,2.204705697
20210101,betsson@testbetssongroup.com,BrandABC,Italy,Active,ABCgamesofchance,Games of Chance,Web,14,25.79294657,-12.89647328,,-12.89647328
20210102,betsson2@testbetssongroup.com,BrandDEF,Sweden,Active,ABCsportsbook,Sportsbook,Mobile,15,10.82633752,-5.413168761,,-5.413168761
20210103,betsson3@testbetssongroup.com,BrandABC,Denmark,Closed,DEFgamesofchance,Games of Chance,Mobile,16,61.81484428,2.16351955,-18.00728875,-15.8437692
20210104,betsson4@testbetssongroup.com,BrandDEF,Denmark,Active,ABCpoker,Poker,Mobile,34,96.38080017,3.373328006,-14.42831644,-11.05498844
20210105,betsson5@testbetssongroup.com,BrandGHI,Switzerland,Active,ABCgamesofchance,Games of Chance,Web,35,41.04953176,1.436733612,-5.582684421,-4.145950809
20210106,betsson6@testbetssongroup.com,BrandGHI,Switzerland,Active,ABCsportsbook,Sportsbook,Mobile,36,68.77097268,2.406984044,-15.15199921,-12.74501517
20210101,betsson7@testbetssongroup.com,BrandABC,Sweden,Closed,DEFgamesofchance,Games of Chance,Web,1,88.61900613,3.101665214,,3.101665214
20210102,betsson8@testbetssongroup.com,BrandABC,Italy,Active,ABCpoker,Poker,Mobile,2,53.46517386,-26.73258693,-2.228110914,-28.96069784
20210103,betsson@testbetssongroup.com,BrandABC,Italy,Active,ABCgamesofchance,Games of Chance,Mobile,3,20.05234661,-10.0261733,-1.511189846,-11.53736315
20210104,betsson@testbetssongroup.com,BrandABC,Italy,Active,ABCsportsbook,Sportsbook,Web,4,78.53443903,2.748705366,-4.332766446,-1.58406108
20210105,betsson2@testbetssongroup.com,BrandDEF,Sweden,Active,ABCpoker,Poker,Mobile,5,96.77433095,3.387101583,-4.829740739,-1.442639156
